City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Husavik,IS,2022-05-12 01:09:19,66.0449,-17.3389,31.23,91,100,7.47
250,Zapolyarnyy,RU,2022-05-12 01:09:19,69.4154,30.8136,36.68,98,100,7.31
251,Torres,BR,2022-05-12 01:09:20,-29.3353,-49.7269,61.83,82,92,8.88
252,Saint-Pierre,RE,2022-05-12 01:09:20,-21.3393,55.4781,72.91,88,75,4.61
253,Aden,YE,2022-05-12 01:09:21,12.7794,45.0367,85.35,61,41,1.63
254,Noyabrsk,RU,2022-05-12 01:08:25,63.1994,75.4507,48.92,66,100,9.51
255,Oktyabrskoye,RU,2022-05-12 01:09:21,43.0645,44.7417,44.74,87,100,4.47
256,Plettenberg Bay,ZA,2022-05-12 01:09:22,-34.0527,23.3716,55.65,80,0,3.27
257,Cuenca,EC,2022-05-12 01:09:22,-2.8833,-78.9833,59.13,94,75,5.75
258,Namibe,AO,2022-05-12 01:09:23,-15.1961,12.1522,72.03,68,0,4.83
259,Salalah,OM,2022-05-12 01:09:23,17.0151,54.0924,86.13,19,100,12.86
260,Longuenesse,FR,2022-05-12 01:09:24,50.734,2.2352,53.02,96,60,7.16
261,Nyurba,RU,2022-05-12 01:09:25,63.2842,118.3319,39.79,94,100,5.41
262,College,US,2022-05-12 01:09:26,64.8569,-147.8028,50.58,40,75,5.75
263,Karacabey,TR,2022-05-12 01:09:26,40.2152,28.4038,44.98,81,0,1.7
264,Olinda,BR,2022-05-12 01:09:27,-8.0089,-34.8553,76.73,88,75,3.44
265,Iquitos,PE,2022-05-12 01:05:23,-3.7481,-73.2472,77.04,100,100,2.3
266,Yajalon,MX,2022-05-12 01:09:27,17.2333,-92.3333,72.48,72,0,0.85
267,Shache,CN,2022-05-12 01:09:28,38.4167,77.2406,73.11,27,100,16.78
268,Roald,NO,2022-05-12 01:09:28,62.5833,6.1333,48.76,87,100,13.8
269,Tasiilaq,GL,2022-05-12 01:09:29,65.6145,-37.6368,21.36,92,97,2.13
270,Narsaq,GL,2022-05-12 01:09:30,60.9167,-46.05,39.42,99,100,7.63
271,Mayo,US,2022-05-12 01:09:34,38.8876,-76.5119,66.58,77,0,4.61
272,Marrakesh,MA,2022-05-12 01:10:30,31.6315,-8.0083,77.07,27,40,13.8
273,Utiel,ES,2022-05-12 01:10:31,39.5667,-1.2,57.02,63,99,4.52
274,Jiangkou,CN,2022-05-12 01:10:31,25.4872,119.1986,69.22,93,100,6.29
275,Kavaratti,IN,2022-05-12 01:10:31,10.5669,72.642,84.61,66,100,13.78
276,Moose Factory,CA,2022-05-12 01:10:32,51.2585,-80.6094,64.56,33,6,5.1
277,Bidar,IN,2022-05-12 01:10:32,17.9,77.55,84.43,57,100,9.08
278,Dunedin,NZ,2022-05-12 01:10:33,-45.8742,170.5036,58.64,57,55,3.22
279,General Roca,AR,2022-05-12 01:06:52,-39.0333,-67.5833,47.62,70,100,7.09
280,Roma,US,2022-05-12 01:10:33,43.2128,-75.4557,66.34,50,0,0.0
281,Otradnoye,RU,2022-05-12 01:10:34,59.7775,30.8181,47.97,97,100,3.02
282,Provideniya,RU,2022-05-12 01:10:34,64.3833,-173.3,41.11,70,40,15.66
283,Nanton,CA,2022-05-12 01:10:35,50.3501,-113.7687,58.26,29,67,11.99
284,Bari Sadri,IN,2022-05-12 01:10:35,24.4167,74.4667,86.68,23,97,4.05
285,Strathmore,CA,2022-05-12 01:10:20,51.0501,-113.3852,54.95,33,97,4.0
286,Bodden Town,KY,2022-05-12 01:10:36,19.2833,-81.25,80.6,66,20,6.91
287,Broome,US,2022-05-12 01:10:36,42.2506,-75.833,63.68,43,0,1.01
288,Araouane,ML,2022-05-12 01:10:37,18.9048,-3.5265,86.09,7,0,9.19
289,Japura,ID,2022-05-12 01:10:38,-0.3167,102.35,78.67,89,99,1.97
290,Goderich,CA,2022-05-12 01:10:38,43.7501,-81.7165,57.33,71,16,2.86
291,Ahuimanu,US,2022-05-12 01:10:38,21.4447,-157.8378,83.34,64,75,18.41
