City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Jawhar,SO,2.7809,45.5005,77.07,82,100,13.51,overcast clouds
136,Inhambane,MZ,-23.865,35.3833,69.84,93,100,7.49,moderate rain
137,Saint-Francois,FR,46.4154,3.9054,71.04,68,0,5.75,clear sky
138,Ravar,IR,31.2656,56.8055,75.31,26,0,8.48,clear sky
139,Hamilton,US,39.1834,-84.5333,77.23,94,100,5.75,thunderstorm
140,Marica,BR,-22.9194,-42.8186,71.49,78,4,6.55,clear sky
141,Caracuaro,MX,19.0106,-101.1264,103.96,17,0,7.02,clear sky
142,Vila Velha,BR,-20.3297,-40.2925,73.35,68,20,9.22,few clouds
143,Marfino,RU,55.7028,37.3822,48.45,53,0,8.95,clear sky
144,Dunedin,NZ,-45.8742,170.5036,47.8,72,100,8.99,overcast clouds
145,Vao,NC,-22.6667,167.4833,74.01,87,93,25.57,overcast clouds
146,Ostrovnoy,RU,68.0531,39.5131,29.53,76,14,7.38,few clouds
147,Airai,TL,-8.9266,125.4092,57.56,90,43,3.62,scattered clouds
148,Krasnotorka,UA,48.682,37.5327,61.84,94,100,20.27,light rain
149,Nefteyugansk,RU,61.0998,72.6035,41.4,82,100,14.18,overcast clouds
150,Chukhloma,RU,58.7525,42.6825,27.82,82,47,4.63,scattered clouds
151,Ponnani,IN,10.767,75.9252,76.32,86,96,5.41,overcast clouds
152,Atbasar,KZ,51.8,68.3333,49.6,82,100,15.14,overcast clouds
153,Bathsheba,BB,13.2167,-59.5167,84.81,70,20,19.57,few clouds
154,Husavik,IS,66.0449,-17.3389,40.95,98,100,11.18,overcast clouds
155,Ukiah,US,39.1502,-123.2078,85.44,31,37,3.0,scattered clouds
156,Ilulissat,GL,69.2167,-51.1,33.87,82,99,6.4,overcast clouds
157,Pauleni-Ciuc,RO,46.4,25.8333,53.56,94,21,3.53,few clouds
158,Niquelandia,BR,-14.4739,-48.4597,69.6,29,0,3.2,clear sky
159,Bannur,IN,12.3308,76.8631,70.3,88,95,9.89,overcast clouds
160,Porbandar,IN,21.6422,69.6093,82.49,81,22,21.05,few clouds
161,Erzin,TR,36.9559,36.2,70.34,27,2,7.43,clear sky
162,Haapiti,PF,-17.5667,-149.8667,83.93,69,8,10.56,clear sky
163,Vostok,RU,46.4856,135.8833,51.01,92,79,2.15,broken clouds
164,Berlevag,NO,70.8578,29.0864,39.2,87,100,12.66,light rain
165,Nome,US,64.5011,-165.4064,58.15,46,87,6.71,overcast clouds
166,Bosobolo,CD,4.1833,19.9,71.92,85,69,1.61,broken clouds
167,Kashan,IR,33.9831,51.4364,69.39,22,83,2.3,broken clouds
168,Mulchen,CL,-37.7167,-72.2333,57.06,70,100,1.79,overcast clouds
169,Corinto,GR,37.9407,22.9573,71.89,53,2,3.29,clear sky
170,Tasiilaq,GL,65.6145,-37.6368,37.15,72,100,5.03,overcast clouds
171,Lebu,CL,-37.6167,-73.65,54.55,84,96,7.85,light rain
172,Port Macquarie,AU,-31.4333,152.9167,58.89,94,75,3.44,light rain
173,Pahrump,US,36.2083,-115.9839,80.83,7,1,5.01,clear sky
174,Novochernorechenskiy,RU,56.2669,91.0828,50.09,57,79,2.04,broken clouds
175,Tura,IN,25.5198,90.2201,70.12,97,52,2.59,broken clouds
176,Port Moresby,PG,-9.4431,147.1797,74.62,94,20,2.3,few clouds
177,Atar,MR,20.5169,-13.0499,92.68,15,0,6.96,clear sky
178,Energetik,RU,51.7445,58.7934,39.92,87,100,7.99,overcast clouds
179,Karratha,AU,-20.7377,116.8463,76.68,74,99,6.33,overcast clouds
180,Aripuana,BR,-9.1667,-60.6333,81.14,61,1,0.31,clear sky
181,East London,ZA,-33.0153,27.9116,59.74,79,68,4.79,broken clouds
182,Novoagansk,RU,61.9449,76.6625,39.09,87,100,5.75,overcast clouds
183,Yerbogachen,RU,61.2767,108.0108,45.5,91,48,3.87,scattered clouds
184,Balabac,PH,7.9868,117.0645,81.88,79,100,8.81,light rain
185,Villa Carlos Paz,AR,-31.4241,-64.4978,63.82,10,53,8.01,broken clouds
186,Ilhabela,BR,-23.7781,-45.3581,65.26,82,17,4.09,few clouds
187,Kalach-Na-Donu,RU,48.691,43.5264,50.38,97,100,9.08,light rain
188,Santa Rosa,PH,14.3122,121.1114,79.11,88,99,1.16,moderate rain
189,Umred,IN,20.85,79.3333,95.29,26,4,11.63,clear sky
190,Meulaboh,ID,4.1363,96.1285,77.41,87,100,0.92,light rain
191,Nuevo Progreso,MX,23.1667,-97.95,95.54,56,3,14.92,clear sky
192,Nantucket,US,41.2835,-70.0995,66.0,99,100,12.39,overcast clouds
193,Salvador,SV,13.8333,-88.9167,82.06,72,94,5.5,light rain
194,Auki,SB,-8.7676,160.7034,79.68,77,7,3.04,clear sky
195,Mahebourg,MU,-20.4081,57.7,71.26,68,2,11.81,clear sky
196,Hasaki,JP,35.7333,140.8333,61.29,89,100,18.23,overcast clouds
197,Faya,SA,18.3851,42.4509,69.93,14,2,6.67,clear sky
198,Santiago Del Estero,AR,-27.7951,-64.2615,69.73,33,0,5.84,clear sky
199,Shiraoi,JP,42.55,141.35,64.58,84,45,2.04,scattered clouds
200,Salalah,OM,17.0151,54.0924,80.98,83,100,8.66,overcast clouds
201,Itoman,JP,26.1247,127.6694,71.62,88,40,14.97,mist
202,Rio De Janeiro,BR,-22.9028,-43.2075,71.55,72,20,11.5,few clouds
203,Kharan,PK,28.5833,65.4167,83.95,8,0,1.99,clear sky
204,New Norfolk,AU,-42.7826,147.0587,44.92,88,44,2.86,scattered clouds
205,Porto Nacional,BR,-10.7081,-48.4172,76.6,50,5,2.91,clear sky
206,Qaqortoq,GL,60.7167,-46.0333,38.53,77,3,5.5,clear sky
207,Tezu,IN,27.9167,96.1667,72.43,83,93,2.51,overcast clouds
208,Kalmunai,LK,7.4167,81.8167,80.58,75,61,4.9,broken clouds
209,Oranjemund,NA,-28.55,16.4333,53.29,87,45,8.61,scattered clouds
210,Kodiak,US,57.79,-152.4072,45.09,81,100,29.01,light rain
211,Khandyga,RU,62.6667,135.6,43.03,69,99,4.03,overcast clouds
212,Norman Wells,CA,65.282,-126.8329,43.11,84,100,7.47,overcast clouds
213,Cururupu,BR,-1.8283,-44.8683,74.93,94,30,2.01,scattered clouds
214,Saskylakh,RU,71.9167,114.0833,28.2,97,88,5.99,overcast clouds
215,Banda Aceh,ID,5.5577,95.3222,80.28,83,100,13.85,overcast clouds
216,Georgetown,MY,5.4112,100.3354,81.95,89,20,3.44,few clouds
217,Along,IN,28.1667,94.7667,68.45,96,91,1.88,overcast clouds
218,Katsuura,JP,35.1333,140.3,61.86,94,100,17.07,overcast clouds
219,Portland,US,45.5234,-122.6762,72.63,44,0,7.0,clear sky
220,Huanren,CN,41.2647,125.3667,54.55,99,87,2.13,overcast clouds
221,Henties Bay,NA,-22.116,14.2845,57.56,72,0,10.71,clear sky
222,Samarai,PG,-10.6167,150.6667,80.91,79,43,6.64,scattered clouds
223,Saldanha,ZA,-33.0117,17.9442,58.21,79,50,7.72,scattered clouds
224,Maha Sarakham,TH,16.3333,103.6667,75.74,91,100,9.48,overcast clouds
225,Mao,ES,39.8885,4.2658,66.76,100,20,4.61,few clouds
226,Qui Nhon,VN,13.7667,109.2333,79.02,84,100,3.53,overcast clouds
227,Cap-Aux-Meules,CA,47.3821,-61.8597,59.05,51,75,23.02,broken clouds
228,Broome,US,42.2506,-75.833,91.6,51,34,8.99,scattered clouds
229,Cassino,IT,41.4876,13.8315,67.91,93,2,1.68,clear sky
